,jmlDifabel1,jmlDifabel2,jmlDifabel3,jmlDifabel4,jmlDifabel5,jmlPemilihKosong,jmlPemilihLaki,jmlPemilihPemulaLaki,jmlPemilihPemulaPerempuan,jmlPemilihPerempuan,jmlTps,namaKabKota,namaKecamatan,namaKelurahan,namaPropinsi,persenDifabel,persenPemilihPemula,totalDifabel,totalPemilih,totalPemilihPemula
255,0,2,1,1,3,0,15218,48,42,15049,58,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,DKI JAKARTA,0.02,0.3,7,30267,90
256,30,0,0,0,4,0,12262,36,35,11937,44,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,DKI JAKARTA,0.14,0.29,34,24199,71
257,1,0,2,0,1,0,28012,82,87,28813,99,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,DKI JAKARTA,0.01,0.3,4,56825,169
258,1,0,0,0,1,0,24944,78,78,24765,91,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,DKI JAKARTA,0.0,0.31,2,49709,156
259,4,1,0,1,0,0,13063,45,44,13067,54,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,DKI JAKARTA,0.02,0.34,6,26130,89
260,0,0,0,1,0,0,16165,74,70,16347,65,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,DKI JAKARTA,0.0,0.44,1,32512,144
261,1,1,0,0,0,0,1067,4,8,1037,5,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,DKI JAKARTA,0.1,0.57,2,2104,12
262,12,3,3,0,2,0,1746,6,10,1806,8,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,DKI JAKARTA,0.56,0.45,20,3552,16
263,1,0,0,1,0,0,759,2,2,757,3,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,DKI JAKARTA,0.13,0.26,2,1516,4
264,0,0,0,0,0,0,829,7,7,825,4,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,DKI JAKARTA,0.0,0.85,0,1654,14
265,1,1,1,1,2,0,2387,9,14,2190,11,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,DKI JAKARTA,0.13,0.5,6,4577,23
266,0,0,0,0,0,0,2155,10,14,2137,8,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,DKI JAKARTA,0.0,0.56,0,4292,24
